ubigeo,department,province,district,idh,monetary_poverty,life_expectancy,complete_secondary_education,years_education,family_income,number_hh,hh_1_nib_or_more,hh_inadequate_characteristics,overcrowded_housing,hh_wo_bathrooms,hh_children_not_attending_school,hh_high_economic_dependence
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,0.473561396,0.22117973,73.214161,0.511627907,6.1219,860.5666467,498,83,55,21,11,2,12
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,0.283335495,0.31604121,64.61715865,0.222222222,4.3571,459.4869798,163,63,54,3,17,1,2
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,0.266376662,0.3950835,67.44460928,0.256802721,4.5301,331.4075316,2483,1644,1464,255,389,123,99
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,0.352008276,0.24453776,81.3670855,0.25,4.1446,598.3016267,201,115,106,7,36,0,0
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,0.388153724,0.22971,65.87607434,0.222222222,5.2397,947.0117038,111,26,9,6,14,0,0
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,0.218150439,0.51237772,70.00025577,0.268867925,3.7875,210.890576,788,667,652,116,24,10,34
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,0.484904356,0.24502994,73.56246455,0.618682684,6.6234,792.4766734,14700,3714,1512,2145,329,196,506
010702,AMAZONAS,UTCUBAMBA,CAJARURO,0.444333418,0.35929618,74.89826523,0.512419006,4.4545,875.1364993,6894,2710,1565,1344,185,166,343
010703,AMAZONAS,UTCUBAMBA,CUMBA,0.350966558,0.37445098,73.11085918,0.337559429,4.4453,564.9731335,2321,1090,723,475,107,78,124
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,0.489490756,0.26712135,76.37468398,0.468805704,5.6204,985.7050575,1685,526,189,301,28,50,84
010705,AMAZONAS,UTCUBAMBA,JAMALCA,0.402184702,0.35474788,74.1534836,0.486631016,4.4495,684.6101936,1934,849,488,371,142,20,81
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,0.403826746,0.32328096,73.17377761,0.383916991,5.3032,691.9551903,3061,749,264,423,57,34,134
010707,AMAZONAS,UTCUBAMBA,YAMON,0.317222029,0.38391761,72.61577085,0.37007874,5.1549,370.3240365,908,517,253,184,168,15,34
020101,ANCASH,HUARAZ,HUARAZ,0.564114218,0.10242455,73.49194816,0.733126455,9.8559,883.9798309,16318,2616,283,1383,914,148,258
020102,ANCASH,HUARAZ,COCHABAMBA,0.261586926,0.51041382,66.69573475,0.361702128,4.1984,291.8812921,543,248,6,70,183,14,24
020103,ANCASH,HUARAZ,COLCABAMBA,0.357351615,0.4032822,69.62490864,0.461538462,6.242,433.0421178,106,18,1,4,11,1,2
020104,ANCASH,HUARAZ,HUANCHAY,0.299750885,0.33213594,68.12051426,0.515789474,5.5013,286.9396124,573,248,34,30,214,11,26
020105,ANCASH,HUARAZ,INDEPENDENCIA,0.561029536,0.11537697,75.47750944,0.726441632,9.2855,871.1050258,21587,3333,304,1669,1116,219,411
020106,ANCASH,HUARAZ,JANGAS,0.435788755,0.23373813,82.40749273,0.578947368,5.5626,579.3876438,1381,251,11,53,104,21,89
020107,ANCASH,HUARAZ,LA LIBERTAD,0.200454507,0.40451562,68.86002713,0.281553398,3.8385,170.0999484,329,138,4,44,102,8,37
020108,ANCASH,HUARAZ,OLLEROS,0.32273526,0.2758076,74.86677937,0.518716578,5.1502,319.9967082,720,204,7,70,105,18,37
020109,ANCASH,HUARAZ,PAMPAS GRANDE,0.311974485,0.46279289,66.73931961,0.585714286,5.9645,294.5971197,385,121,12,31,93,1,4
020110,ANCASH,HUARAZ,PARIACOTO,0.337456077,0.32034603,72.24169246,0.512195122,4.9338,392.8370469,1434,265,25,105,83,21,64
020111,ANCASH,HUARAZ,PIRA,0.33127345,0.4032822,77.81544267,0.454545455,4.1894,403.1105159,1041,294,5,102,164,5,65
020112,ANCASH,HUARAZ,TARICA,0.437295834,0.2758076,78.43580409,0.598470363,5.6454,609.9286239,1837,539,18,152,309,18,141
020201,ANCASH,AIJA,AIJA,0.448892145,0.2074384,57.43771638,0.608,8.5965,799.5284317,548,73,2,35,33,4,5
020202,ANCASH,AIJA,CORIS,0.308654081,0.40218881,58.40235757,0.317073171,5.3619,496.6689729,544,288,84,60,256,7,24
020203,ANCASH,AIJA,HUACLLAN,0.294356623,0.27149267,58.19544776,0.3,6.3192,402.7594522,123,45,0,6,39,0,4
