ubigeo,departamento,provincia,distrito,pop_2017,pop_permanent_2017,type,region,centrality_degree_in,centrality_degree_out,centrality_degree_all,centrality_strength_in,centrality_strength_out,centrality_strength_all,centrality_closeness_in,centrality_closeness_out,centrality_closeness_all,centrality_betweenness_weighted,centrality_authority_weighted,centrality_hub_weighted,centrality_pagerank_weighted
070106,CALLAO,CALLAO,VENTANILLA,315600,305480,work,CALLAO,46,49,95,663.8784431551758,5102.299816903887,5766.178260059062,48.34978828797552,93.0857435966796,209.2488209739146,0,0.012378927682693355,0.1877473235568687,0.00768961361410795
070107,CALLAO,CALLAO,MI PERU,45297,43887,work,CALLAO,28,48,76,58.390537113381704,6726.8220448776865,6785.212581991068,14.498586331003498,116.4484209551571,254.52283829820124,0,9.279195325982145e-4,0.25431392039550754,0.0032556797750280986
150101,LIMA,LIMA,LIMA,268352,257461,work,CENTRAL LIMA,49,49,98,8480.509676397185,1208.2910166057825,9688.800693002968,178.25732600639253,64.94352352016544,242.943037721904,0,0.32376920895280076,0.03797818657261383,0.034035647165551755
150102,LIMA,LIMA,ANCON,62928,59255,work,NORTHERN LIMA,47,47,94,3064.4644728942617,10035.219646526222,13099.684119420486,122.99804076444907,105.27561783293508,277.2157228058225,0.14795918367346939,0.06880944501341796,0.34448930846104187,0.01990768781862611
150103,LIMA,LIMA,ATE,599196,579105,work,EASTERN LIMA,49,49,98,1407.5906427754596,2329.584844389544,3737.175487165004,57.97539431453363,58.49234608211109,155.6364561751791,0,0.03310073903481816,0.08237371664030235,0.012693093647637899
150104,LIMA,LIMA,BARRANCO,34378,32895,work,CENTRAL LIMA,49,45,94,4701.76367974182,1022.7143846890069,5724.478064430827,157.49407993348717,53.22815013820388,229.13268406039126,0,0.23828709211253687,0.034929726398155204,0.022409835774325097
150105,LIMA,LIMA,BREÑA,85309,81222,work,CENTRAL LIMA,49,49,98,2409.4463417447973,1142.2355258809405,3551.6818676257367,95.72820939721369,64.79822492374305,126.61406652442629,0,0.09276227549123237,0.037756488595377315,0.011101828171345002
150106,LIMA,LIMA,CARABAYLLO,333045,320618,work,NORTHERN LIMA,45,49,94,431.40216680921145,7235.568936512308,7666.97110332152,27.593283899948943,98.63059011028432,250.16066378022188,0,0.007999232693359103,0.2511615320099861,0.005198220859286688
150107,LIMA,LIMA,CHACLACAYO,42912,41235,work,EASTERN LIMA,49,46,95,1873.4123037531467,5193.308618153521,7066.720921906666,161.280402824899,76.21089660923353,263.1055655701467,0.0391156462585034,0.14461236125588034,0.19980477458561777,0.013571271465212375
150108,LIMA,LIMA,CHORRILLOS,314241,304295,work,SOUTHERN LIMA,49,48,97,1910.7311143742309,2136.945092795055,4047.6762071692856,94.01043559830089,78.499383978809945,149.63853558091884,0,0.06442775379457942,0.07282547554273142,0.012653068833376272
150109,LIMA,LIMA,CIENEGUILLA,34684,32697,work,EASTERN LIMA,47,46,93,1217.6681581500743,4179.775386777882,5397.443544927958,68.46742609857937,75.68943832612715,216.30533768931343,0,0.029784263771029367,0.14499649883381147,0.011114324099272346
150110,LIMA,LIMA,COMAS,520450,504617,work,NORTHERN LIMA,48,49,97,437.5506538765522,2974.7662519849196,3412.3169058614717,44.4636005616409,83.27655545669268,182.6018851069306,0,0.01270080727916193,0.10281404961921793,0.004880085677848265
150111,LIMA,LIMA,EL AGUSTINO,198862,191624,work,EASTERN LIMA,47,49,96,502.4046343919936,1357.5424334444663,1859.9470678364605,47.89149938993437,64.99834089811492,105.0018764210498,0,0.020248857155682674,0.04332860573094656,0.005017356310744282
150112,LIMA,LIMA,INDEPENDENCIA,211360,204990,work,NORTHERN LIMA,48,49,97,750.2959965441704,1875.6765692866836,2625.9725658308544,67.18394829743535,69.71995967413666,123.67429306317382,0,0.023830341669296793,0.06499674503317182,0.005739605902220542
150113,LIMA,LIMA,JESUS MARIA,75359,69031,work,CENTRAL LIMA,49,47,96,5801.357611152415,921.3924396911069,6722.750050843523,168.75248544105256,57.36215752942638,249.02875951953718,0,0.28680705900972453,0.028665733293807293,0.024199927876910218
150114,LIMA,LIMA,LA MOLINA,140679,134095,work,EASTERN LIMA,49,49,98,4517.256123025201,2737.2224537697302,7254.478576794933,124.35047611533322,81.14366682296797,205.61746493811543,0.03188775510204082,0.14990616957690817,0.11535048480940265,0.02579476454448734
150115,LIMA,LIMA,LA VICTORIA,173630,166465,work,CENTRAL LIMA,49,49,98,4442.785106785957,780.1907851526339,5222.975891938591,130.74525446662975,70.94918711591355,167.27388833402398,0,0.14535119250567516,0.023193244227380526,0.01865764939139536
150116,LIMA,LIMA,LINCE,54711,52055,work,CENTRAL LIMA,49,47,96,4188.805631563461,840.5593529838061,5029.364984547267,130.4994271830244,51.197293579255856,168.43740473084839,0,0.14791523523219371,0.02516231315549563,0.017683605895212964
150117,LIMA,LIMA,LOS OLIVOS,325884,313849,work,NORTHERN LIMA,49,49,98,1514.150057799666,2509.272495899054,4023.42255369872,97.82124712009912,74.16589812272605,166.97207816608403,0,0.057430067605821,0.08542709852594711,0.008241429060992636
150118,LIMA,LIMA,LURIGANCHO,240814,230013,work,EASTERN LIMA,48,49,97,1622.4904364190204,3560.4908307684946,5182.981267187516,52.97334061560861,81.04064953185272,185.2852092098973,0,0.028699706304650813,0.12197393792138285,0.01430298802383554
150119,LIMA,LIMA,LURIN,89195,85227,work,SOUTHERN LIMA,49,48,97,10733.489438741337,4315.971076698626,15049.460515439965,191.15734402640481,89.49198821871359,270.2640818802322,0.05952380952380952,0.41024603692589756,0.13807599094165993,0.06639035629144487
150120,LIMA,LIMA,MAGDALENA DEL MAR,60290,57535,work,CENTRAL LIMA,49,48,97,3006.690454182939,1018.452926375937,4025.1433805588754,112.44615398570366,53.686138928647274,142.54583711081085,0,0.11196321824244652,0.03148372232099438,0.01481542921645921
150121,LIMA,LIMA,MAGDALENA VIEJA,83323,79211,work,CENTRAL LIMA,48,48,96,1579.304401129068,1229.5782906330749,2808.882691762143,70.41460928929381,81.86849968091354,160.4337285550638,0,0.046105396736416004,0.040708895948054394,0.00876738565166369
150122,LIMA,LIMA,MIRAFLORES,99337,92749,work,CENTRAL LIMA,49,48,97,9938.683575402554,1115.3648054695193,11054.048380872076,181.29286984841028,68.61898481993309,254.12871496780028,0,0.39744960677601104,0.03624234724581371,0.04407857205564422
150123,LIMA,LIMA,PACHACAMAC,110071,106010,work,SOUTHERN LIMA,49,47,96,1465.49867776013,4253.718360865254,5719.217038625383,84.4068415454391,76.2603020158085,210.994226170059,0,0.05825130797617531,0.12872315777461538,0.012769242029015353
150124,LIMA,LIMA,PUCUSANA,14891,14151,work,SOUTHERN LIMA,49,44,93,10032.287110713865,9395.096247566376,19427.383358280247,181.00897790690436,103.99853603813726,288.8676476411813,0.35331632653061223,0.21474497591160435,0.36240936966046655,0.062065841781726784
150125,LIMA,LIMA,PUENTE PIEDRA,329675,317617,work,NORTHERN LIMA,47,48,95,960.259730018449,4220.481862228876,5180.741592247326,84.02044889848904,86.79285080594404,192.36529807781002,0,0.028756751284326056,0.13878386881884275,0.0073953430683645835
150126,LIMA,LIMA,PUNTA HERMOSA,15874,14689,work,SOUTHERN LIMA,48,48,96,5981.733242675966,7252.205210001115,13233.938452677083,171.2391181837786,89.41501520207329,264.55315809485654,0.055697278911564625,0.24171873707796482,0.2441258315407057,0.03691474387043882
150127,LIMA,LIMA,PUNTA NEGRA,7074,6565,work,SOUTHERN LIMA,43,44,87,4591.608222003682,10398.469453511376,14990.07767551506,156.80985493251163,105.16304913188132,296.4683697879546,0.03358843537414966,0.1603845643312527,0.35330626506259566,0.030447265672792292
150128,LIMA,LIMA,RIMAC,174785,169595,work,CENTRAL LIMA,48,48,96,777.0369902410797,1414.7576360619564,2191.7946263030362,55.15916999935082,75.49140922093626,137.14477955734833,0,0.023346557939201953,0.044919022249058915,0.00613213217212255
150129,LIMA,LIMA,SAN BARTOLO,7482,6901,work,SOUTHERN LIMA,46,42,88,10203.616164176045,13367.054956254691,23570.671120430732,192.26729622187582,108.36308378285975,319.6170368538359,0.35459183673469385,0.38482265231293683,0.5519401461411516,0.05715253981499467
150130,LIMA,LIMA,SAN BORJA,113247,107055,work,CENTRAL LIMA,49,48,97,4686.923347019076,1393.6841895685902,6080.607536587666,139.67124155135627,62.346557943316604,188.7179504848322,0,0.18694734895538528,0.0594367252120247,0.022236380519035627
150131,LIMA,LIMA,SAN ISIDRO,60735,56388,work,CENTRAL LIMA,49,47,96,18383.242206496474,1019.4551774607743,19402.69738395725,238.86826201765592,67.7627871915038,331.56800933344005,0.008928571428571428,0.7246825682827707,0.03459228104477202,0.07792317239963995
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1038495,1004690,work,EASTERN LIMA,49,49,98,462.8848285309251,2871.9125933844653,3334.79742191539,41.15339363458739,74.72974953474366,163.29999917078325,0,0.01682427671700166,0.09816587107818367,0.005685174107096781
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,355219,344625,work,SOUTHERN LIMA,49,48,97,877.3404639386371,1989.5106325465347,2866.8510964851707,70.39721871253626,76.20840015248753,138.60926416627902,0,0.041021750783773854,0.06559245702622492,0.006761778780730173
150134,LIMA,LIMA,SAN LUIS,52082,49424,work,EASTERN LIMA,49,47,96,3397.728921664595,996.4252179078254,4394.154139572421,134.89743296964957,73.67158073377456,176.25580171865346,0,0.13367092315316703,0.028834044448952725,0.015991196583621616
150135,LIMA,LIMA,SAN MARTIN DE PORRES,654083,629296,work,NORTHERN LIMA,49,49,98,591.073229181977,2257.379850919444,2848.4530801014193,51.73460154103574,73.8402939703062,139.9444841052781,0,0.025320114498735988,0.07315888384145733,0.005281442918072533
150136,LIMA,LIMA,SAN MIGUEL,155384,147699,work,CENTRAL LIMA,49,49,98,2071.156975853204,1870.7635934888294,3941.9205693420326,81.8840149197062,84.81078984305773,173.7615339489045,0,0.06944379040805361,0.06516695070235318,0.011143580796938168
150137,LIMA,LIMA,SANTA ANITA,196214,188829,work,EASTERN LIMA,47,48,95,1967.935597607938,1238.1163277181167,3206.0519253260545,99.14476165705776,53.7833563741242,125.09713097703141,0,0.054109686458861064,0.03810796447901574,0.010185936132210315
150138,LIMA,LIMA,SANTA MARIA DEL MAR,999,915,work,SOUTHERN LIMA,34,33,67,9101.560705863169,17934.768357515663,27036.329063378827,192.47133815855815,109.72398680148521,334.4625675061918,0.5144557823129252,0.32354423212320027,1,0.06474307917917596
150139,LIMA,LIMA,SANTA ROSA,27863,26208,work,NORTHERN LIMA,40,47,87,2107.3069360656577,8555.459205578685,10662.766141644342,172.0087886020296,105.02585054116739,280.70626701642914,0.2389455782312925,0.22845039663990074,0.28659955842440926,0.010579759148193892
150140,LIMA,LIMA,SANTIAGO DE SURCO,329152,315252,work,CENTRAL LIMA,49,48,97,3045.7731776519454,1794.5395600139045,4840.3127376658495,121.67357480504606,70.86274936246231,160.84178203340736,0,0.1305304158194573,0.06848603053193177,0.016278056907978386
150141,LIMA,LIMA,SURQUILLO,91023,86614,work,CENTRAL LIMA,49,49,98,3369.298312554145,1066.3681763604875,4435.666488914635,126.07296831138315,64.33720706804907,164.75017000254343,0,0.13855130630648724,0.0331797927076633,0.015947289756357185
150142,LIMA,LIMA,VILLA EL SALVADOR,393254,383154,work,SOUTHERN LIMA,49,49,98,1203.0105998046392,3039.629828059863,4242.6404278645,77.88393163552875,75.7841552170043,159.77812786008843,0,0.04140102904428816,0.09760329341675736,0.009193350838500659
150143,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,398433,388303,work,SOUTHERN LIMA,47,48,95,342.17097788546005,2535.958118316202,2878.1290962016615,27.21273367262661,75.64354160920907,157.35809116325774,0,0.010151091469351047,0.08749660076743472,0.004901358031878033
